"X","Time","PopBio","Time_units","PopBio_units","Rep_ID","ID","Medium","Temp","Citation","Species","Rep","avg_count","group","counter","logPopBio"
565,72.0164609053498,2.03060409663475,"Hours","CFU","100_1",100,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,14,139,11,0.708333333333334
564,23.8683127572017,1.48562169330106,"Hours","CFU","100_1",100,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,14,139,12,0.395833333333334
563,11.522633744856,1.20623024942098,"Hours","CFU","100_1",100,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,14,139,13,0.187499999999999
562,0.823045267489732,0.97938218133124,"Hours","CFU","100_1",100,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,14,139,14,-0.0208333333333335
401,315.533980582524,751.40983316451,"Hours","CFU","101_1",101,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,13,125,1,6.6219512195122
400,289.320388349514,808.452519969817,"Hours","CFU","101_1",101,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,13,125,2,6.69512195121952
399,264.563106796116,2513.08985427153,"Hours","CFU","101_1",101,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,13,125,3,7.82926829268293
398,242.718446601942,641.246946157623,"Hours","CFU","101_1",101,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,13,125,4,6.46341463414635
397,216.504854368932,553.949302447228,"Hours","CFU","101_1",101,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,13,125,5,6.31707317073171
396,194.660194174757,233.042190480016,"Hours","CFU","101_1",101,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,13,125,6,5.45121951219513
395,170.873786407767,113.489159014993,"Hours","CFU","101_1",101,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,13,125,7,4.73170731707318
394,146.601941747573,38.3341622515428,"Hours","CFU","101_1",101,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,13,125,8,3.64634146341464
393,119.902912621359,12.9484437833703,"Hours","CFU","101_1",101,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,13,125,9,2.5609756097561
392,96.1165048543689,4.01582940414266,"Hours","CFU","101_1",101,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,13,125,10,1.39024390243903
391,72.3300970873786,1.24546903650989,"Hours","CFU","101_1",101,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,13,125,11,0.219512195121947
403,12.621359223301,1.24546903650989,"Hours","CFU","101_1",101,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,13,125,12,0.219512195121947
402,0.970873786407779,1.02469011894639,"Hours","CFU","101_1",101,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,13,125,13,0.0243902439024351
216,324.64933124787,371.187294349518,"Hours","CFU","102_1",102,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,10,110,1,5.91670677174196
215,299.646323367222,656.209980383781,"Hours","CFU","102_1",102,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,10,110,2,6.48648082977401
214,274.189000180473,643.585531267891,"Hours","CFU","102_1",102,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,10,110,3,6.46705493392689
213,251.285242334918,336.355066808284,"Hours","CFU","102_1",102,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,10,110,4,5.81816734845295
212,225.075948986344,268.216099672644,"Hours","CFU","102_1",102,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,10,110,5,5.59179299765385
211,201.874536285067,115.175057193779,"Hours","CFU","102_1",102,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,10,110,6,4.7464532074034
210,176.887194449458,64.6610782439637,"Hours","CFU","102_1",102,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,10,110,7,4.16915944775311
209,151.116550361948,21.6474183351556,"Hours","CFU","102_1",102,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,10,110,8,3.07488620184884
208,122.212697266839,5.20076703811859,"Hours","CFU","102_1",102,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,10,110,9,1.64880612203974
207,96.6300457197859,1.97113191293045,"Hours","CFU","102_1",102,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,10,110,10,0.67860795283643
31,324.731182795699,1328.48961686652,"Hours","CFU","103_1",103,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Staphylococcus spp.",1,14,95,1,7.19179794948737
30,297.849462365591,1367.07692435188,"Hours","CFU","103_1",103,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Staphylococcus spp.",1,14,95,2,7.22043010752688
29,272.58064516129,1491.55860258709,"Hours","CFU","103_1",103,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Staphylococcus spp.",1,14,95,3,7.30757689422355
28,249.462365591398,1162.13545783548,"Hours","CFU","103_1",103,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Staphylococcus spp.",1,14,95,4,7.05801450362591
27,223.118279569892,1089.7988720143,"Hours","CFU","103_1",103,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Staphylococcus spp.",1,14,95,5,6.99374843710928
26,200.537634408602,278.114252089718,"Hours","CFU","103_1",103,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Staphylococcus spp.",1,14,95,6,5.628032008002
25,176.344086021505,257.917085577627,"Hours","CFU","103_1",103,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Staphylococcus spp.",1,14,95,7,5.55263815953989
24,150.537634408602,119.008485667523,"Hours","CFU","103_1",103,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Staphylococcus spp.",1,14,95,8,4.77919479869967
23,123.118279569893,24.8952910136275,"Hours","CFU","103_1",103,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Staphylococcus spp.",1,14,95,9,3.21467866966742
22,98.9247311827957,5.45986659380366,"Hours","CFU","103_1",103,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Staphylococcus spp.",1,14,95,10,1.69742435608902
21,74.1935483870968,2.76559088446776,"Hours","CFU","103_1",103,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Staphylococcus spp.",1,14,95,11,1.01725431357839
20,51.6129032258065,1.03588777709619,"Hours","CFU","103_1",103,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Staphylococcus spp.",1,14,95,12,0.0352588147036768
19,24.7311827956989,1.02943205969681,"Hours","CFU","103_1",103,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Staphylococcus spp.",1,14,95,13,0.0290072518129557
18,1.07526881720429,1.04787226132644,"Hours","CFU","103_1",103,"Raw Chicken Breast",7,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Staphylococcus spp.",1,14,95,14,0.0467616904226086
652,193.962008617179,260.187480226646,"Hours","CFU","104_1",104,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,12,145,1,5.56140244895863
651,166.752627959523,422.353124267711,"Hours","CFU","104_1",104,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,12,145,2,6.0458417514889
650,154.384727660588,428.555537731446,"Hours","CFU","104_1",104,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,12,145,3,6.06042033928088
649,118.517816793678,260.125304607165,"Hours","CFU","104_1",104,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,12,145,4,5.56116345571615
648,108.211233211232,165.562162874315,"Hours","CFU","104_1",104,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,12,145,5,5.10934673078599
647,96.2555962555953,89.4304425478934,"Hours","CFU","104_1",104,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,12,145,6,4.49346114488541
646,84.2999592999585,47.7845022612895,"Hours","CFU","104_1",104,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,12,145,7,3.86670136645147
645,72.3443223443217,22.9014370687221,"Hours","CFU","104_1",104,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,12,145,8,3.13119966268391
644,59.976422045387,4.54782624508339,"Hours","CFU","104_1",104,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,12,145,9,1.51464937047144
643,48.0207850897502,2.37771800661512,"Hours","CFU","104_1",104,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,12,145,10,0.86614120697078
642,36.4774114774112,1.0448621430402,"Hours","CFU","104_1",104,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,12,145,11,0.0438849561788014
641,24.5217745217743,1.00434096937539,"Hours","CFU","104_1",104,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Mesophilic.",1,12,145,12,0.0043315745464614
476,206.138176623676,438.952465320279,"Hours","CFU","105_1",105,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,12,131,1,6.08439112775986
475,177.992828713647,680.025384910909,"Hours","CFU","105_1",105,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,12,131,2,6.52213012822471
474,165.266721973961,378.440712705882,"Hours","CFU","105_1",105,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,12,131,3,5.9360594231076
473,127.102355819311,248.822499204017,"Hours","CFU","105_1",105,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,12,131,4,5.51673978766071
472,116.734485964502,188.1238150853,"Hours","CFU","105_1",105,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,12,131,5,5.2371003369334
471,103.2409056824,53.2848960313649,"Hours","CFU","105_1",105,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,12,131,6,3.97565291449085
470,90.8776046173109,40.8069007451378,"Hours","CFU","105_1",105,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,12,131,7,3.70885120301849
469,77.4817027860626,19.6006968348258,"Hours","CFU","105_1",105,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,12,131,8,2.97556511840172
468,63.0950623818783,6.1265598333399,"Hours","CFU","105_1",105,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,12,131,9,1.81263339067648
467,50.5782666083057,4.09905449335698,"Hours","CFU","105_1",105,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,12,131,10,1.41075633573902
466,37.0986403906121,1.82904283868428,"Hours","CFU","105_1",105,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,12,131,11,0.603792791050394
465,13.2930065113312,0.996239913640834,"Hours","CFU","105_1",105,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Aerobic Psychotropic.",1,12,131,12,-0.00376717325434981
293,202.565392354125,384.023683071801,"Hours","CFU","106_1",106,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,13,116,1,5.95070422535207
292,174.372243562384,535.529022843063,"Hours","CFU","106_1",106,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,13,116,2,6.28325508607194
291,161.923815620999,351.663958525831,"Hours","CFU","106_1",106,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,13,116,3,5.86267605633799
290,124.819878869175,289.182478680377,"Hours","CFU","106_1",106,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,13,116,4,5.66705790297336
289,114.194256447778,195.551074558528,"Hours","CFU","106_1",106,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,13,116,5,5.2758215962441
288,101.148812064305,102.542945379242,"Hours","CFU","106_1",106,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,13,116,6,4.63028169014082
287,88.5797105867529,55.9168303644453,"Hours","CFU","106_1",106,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,13,116,7,4.02386541471046
286,75.2675141759649,19.4437831492429,"Hours","CFU","106_1",106,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,13,116,8,2.96752738654145
285,62.1966648375099,9.80471948410934,"Hours","CFU","106_1",106,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,13,116,9,2.28286384976525
284,49.4687823913176,2.0906613225211,"Hours","CFU","106_1",106,"Salted Chicken Breast",10,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.","Pseudomonas spp.",1,13,116,10,0.737480438184654
